name,chembl_id,chembl_max_phase,indication_class,molecular_weight,logP,PSA,H_donors,H_acceptors,rotatable_bonds,SMILES,smiles_source,source,sources,ingredient,earliest_patent_expiry,earliest_exclusivity_date,ema_approved,pmda_approved,nosa_candidate,pubchem_cid,vapor_pressure_mmhg,vapor_pressure_raw,melting_point_c,melting_point_raw,boiling_point_c,boiling_point_raw
SULPIRIDE,CHEMBL26,4.0,,341.43,0.56,101.73,2.0,5.0,6.0,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,chembl,chembl,chembl,,,,False,False,False,,,,,,,
BETAXOLOL,CHEMBL423,4.0,,307.43,2.39,50.72,2.0,4.0,11.0,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,chembl,chembl,chembl,BETAXOLOL HYDROCHLORIDE,,,False,False,False,2369.0,,,70.0,70-72 °C,,
SALICYLIC ACID,CHEMBL424,4.0,,138.12,1.09,57.53,2.0,2.0,1.0,O=C(O)c1ccccc1O,chembl,chembl,chembl,,,,False,False,False,,,,,,,
OLSALAZINE,CHEMBL425,4.0,,302.24,2.91,139.78,4.0,6.0,4.0,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,chembl,chembl,chembl,OLSALAZINE SODIUM,,,False,False,False,22419.0,,,,,,
PROPRANOLOL,CHEMBL27,4.0,,259.35,2.58,41.49,2.0,3.0,6.0,CC(C)NCC(O)COc1cccc2ccccc12,chembl,chembl,chembl,PROPRANOLOL HYDROCHLORIDE,2028-10-16,,False,False,True,4946.0,,,96.0,96 °C,,
PRACTOLOL,CHEMBL6995,4.0,,266.34,1.38,70.59,3.0,4.0,7.0,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,chembl,chembl,chembl,,,,False,False,False,4883.0,,,134.0,134-136 °C,,
MECHLORETHAMINE,CHEMBL427,4.0,,156.06,1.40,3.24,0.0,1.0,4.0,CN(CCCl)CCCl,chembl,chembl,chembl,MECHLORETHAMINE HYDROCHLORIDE,2026-03-07,,False,False,False,4033.0,0.42,0.42 [mmHg],-60.0,"-76 °F (EPA, 1998)",87.22222222222223,"189 °F at 18 mmHg (EPA, 1998)"
PENICILLIN G,CHEMBL29,4.0,,334.40,0.86,86.71,2.0,4.0,4.0,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,chembl,chembl,chembl,PENICILLIN G POTASSIUM,,,False,False,False,5904.0,,,214.0,214-217 °C,,
TROVAFLOXACIN,CHEMBL428,4.0,,416.36,1.89,101.45,2.0,6.0,3.0,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,chembl,chembl,chembl,TROVAFLOXACIN MESYLATE,,,False,False,False,62959.0,,,,,,
CIMETIDINE,CHEMBL30,4.0,,252.35,0.60,88.89,3.0,4.0,5.0,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,chembl,chembl,chembl,CIMETIDINE HYDROCHLORIDE,,,False,False,False,2756.0,,,140.0,"284 to 290 °F (NTP, 1992)",,
